==============================================================================================================
  UNCLASSIFIABLE INSIDER BACKTEST -- Filter Rankings by Confidence-Weighted Score
  Score = avg_alpha_180d * ln(n)  |  min n = 5  |  820 combinations ranked
  Source: output/unclassifiable_backtest.csv  |  Run: 2026-05-04
==============================================================================================================

  Baseline (all trades, no filter): n=2320  avg=+2.1%  hit=52%  score=16.18

 Rank  Role                Sector                      Size     DD          n   Hit180    Avg180a      Score
  232  Director            Consumer Cyclical           $100K+   DD<5%      75      63%      +7.6%      32.75
  233  all                 Real Estate                 $500K+   DD<2%      27      81%      +9.9%      32.70
  234  Director            Real Estate                 $500K+   DD<2%      24      83%     +10.3%      32.69
  235  CEO                 Healthcare                  $100K+   DD<2%      11      73%     +13.5%      32.45
  236  all                 Technology                  $500K+   any       104      56%      +6.9%      32.21
  237  CEO                 Healthcare                  $100K+   DD<5%      15      60%     +11.9%      32.14
  238  Director            Real Estate                 $1M+     DD<5%      24      83%     +10.1%      32.10
  239  CEO                 Consumer Cyclical           $1M+     DD<2%       8      75%     +15.4%      32.08
  240  Director            Industrials                 $100K+   DD<5%     142      59%      +6.5%      31.99
  241  CEO                 Consumer Cyclical           $100K+   DD<5%      19      68%     +10.7%      31.63
  242  CFO                 Consumer Cyclical           $250K+   any         7      71%     +16.2%      31.52
  243  CEO                 Financial Services          $100K+   any        57      37%      +7.8%      31.35
  244  Director            Consumer Defensive          $500K+   DD<5%      36      94%      +8.7%      31.27
  245  CEO                 Industrials                 $1M+     DD<5%      14      50%     +11.8%      31.15
  246  all                 Utilities                   $250K+   any        98      73%      +6.8%      31.11
  247  all                 Technology                  $100K+   any       224      51%      +5.7%      31.11
  248  CEO                 Communication Services      $100K+   DD<2%       5      60%     +19.3%      31.10
  249  CEO                 Communication Services      $250K+   DD<2%       5      60%     +19.3%      31.10
  250  CEO                 Communication Services      $500K+   DD<2%       5      60%     +19.3%      31.10
  251  CEO                 Industrials                 $250K+   DD<5%      17      53%     +11.0%      31.08
  252  Director            Utilities                   $500K+   DD<5%      20      90%     +10.3%      30.88
  253  Director            Consumer Defensive          $250K+   DD<5%      45      89%      +8.1%      30.80
  254  Insider (other)     all                         $1M+     DD<5%      55      82%      +7.6%      30.65
  255  CEO                 Consumer Cyclical           $500K+   DD<5%      16      69%     +11.0%      30.63
  256  Director            Real Estate                 $100K+   DD<2%      47      77%      +7.9%      30.59
  257  CEO                 Industrials                 $500K+   DD<5%      16      50%     +11.0%      30.52
  258  all                 Real Estate                 $100K+   DD<2%      53      75%      +7.6%      30.37
  259  Insider (other)     Communication Services      $100K+   DD<2%      19     100%     +10.3%      30.34
  260  Insider (other)     Communication Services      $250K+   DD<2%      19     100%     +10.3%      30.34
  261  all                 Real Estate                 $500K+   DD<5%      33      79%      +8.5%      29.79
  262  CFO                 all                         $250K+   DD<2%      29      66%      +8.8%      29.74
  263  all                 Technology                  $1M+     DD<5%      35      54%      +8.3%      29.60
  264  CEO                 all                         $250K+   any       199      51%      +5.6%      29.56
  265  Director            Real Estate                 $5M+     any        10      80%     +12.8%      29.55
  266  Insider (other)     Consumer Cyclical           $250K+   any         5      80%     +18.3%      29.53
  267  Director            Real Estate                 $500K+   DD<5%      30      80%      +8.7%      29.50
  268  Insider (other)     all                         $5M+     DD<5%      28      79%      +8.8%      29.26
  269  Director            Consumer Defensive          $500K+   DD<2%      26      96%      +9.0%      29.25
  270  Insider (other)     all                         $100K+   DD<2%      52      77%      +7.4%      29.20
  271  Insider (other)     Communication Services      $500K+   DD<2%      15     100%     +10.7%      29.04
  272  Insider (other)     Communication Services      $1M+     DD<2%      15     100%     +10.7%      29.04
  273  Director            Utilities                   $500K+   DD<2%      11      91%     +12.0%      28.89
  274  all                 Utilities                   $500K+   DD<2%      21      81%      +9.5%      28.80
  275  Director            Consumer Defensive          $500K+   any        46      85%      +7.5%      28.78
  276  Director            Consumer Defensive          $1M+     DD<2%      23     100%      +9.1%      28.59
  277  Insider (other)     all                         $500K+   DD<5%      63      81%      +6.9%      28.57
  278  CEO                 all                         $5M+     DD<2%       7      71%     +14.5%      28.27
  279  Director            Consumer Defensive          $250K+   any        60      82%      +6.9%      28.24
  280  CEO                 Technology                  $100K+   any        38      53%      +7.8%      28.21
  281  Director            Industrials                 $25M+    any         7      43%     +14.3%      27.92
  282  all                 Financial Services          $1M+     DD<5%      70      57%      +6.5%      27.81
  283  Director            Consumer Defensive          $5M+     any        18      89%      +9.5%      27.55
  284  Insider (other)     Financial Services          $5M+     DD<5%      12      67%     +11.1%      27.49
  285  CFO                 all                         $250K+   DD<5%      41      63%      +7.4%      27.42
  286  Director            all                         $250K+   any       783      59%      +4.1%      27.07
  287  Insider (other)     all                         $250K+   DD<5%      77      81%      +6.2%      26.99
  288  Director            Consumer Cyclical           $250K+   DD<5%      44      68%      +7.1%      26.94
  289  Director            Utilities                   $100K+   any       108      67%      +5.7%      26.71
  290  CFO                 Communication Services      $100K+   any         6      67%     +14.8%      26.55
  291  Director            Industrials                 $5M+     any         9      56%     +12.0%      26.43
  292  Insider (other)     Communication Services      $5M+     DD<5%      11     100%     +11.0%      26.37
  293  all                 Financial Services          $1M+     DD<2%      47      62%      +6.8%      26.31
  294  all                 Utilities                   $500K+   DD<5%      34      79%      +7.4%      26.19
  295  all                 Utilities                   $1M+     any        19      84%      +8.9%      26.15
  296  all                 Financial Services          $5M+     DD<5%      30      70%      +7.7%      26.14
  297  Director            Utilities                   $1M+     DD<2%       9      89%     +11.8%      25.93
  298  Other/EVP           Healthcare                  $100K+   any        20      55%      +8.6%      25.83
  299  Director            Healthcare                  $250K+   any        66      67%      +6.2%      25.81
  300  Director            Utilities                   $500K+   any        23      87%      +8.2%      25.68
  301  Other/EVP           Industrials                 $100K+   any        13      85%     +10.0%      25.61
  302  Director            Technology                  $100K+   any       135      47%      +5.2%      25.51
  303  CEO                 Industrials                 $100K+   any        32      56%      +7.4%      25.49
  304  Other/EVP           Industrials                 $100K+   DD<2%       5      80%     +15.8%      25.35
  305  Director            Consumer Defensive          $250K+   DD<2%      32      88%      +7.3%      25.28
  306  Director            Industrials                 $250K+   any       133      56%      +5.2%      25.28
  307  Director            Healthcare                  $500K+   DD<5%      30      77%      +7.4%      25.24
  308  Director            Technology                  $500K+   DD<5%      40      60%      +6.8%      25.17
  309  CEO                 Consumer Cyclical           $1M+     any        16      69%      +9.1%      25.15
  310  Director            Real Estate                 $1M+     any        28      75%      +7.5%      25.06
  311  CFO                 Industrials                 $100K+   DD<5%       7      86%     +12.8%      24.97
  312  all                 Communication Services      $500K+   any        96      66%      +5.4%      24.87
  313  all                 Utilities                   $1M+     DD<2%      14      79%      +9.4%      24.84
  314  all                 all                         $500K+   any      1043      56%      +3.5%      24.67
  315  all                 all                         $5M+     any       258      53%      +4.4%      24.58
  316  all                 Communication Services      $250K+   any       117      65%      +5.2%      24.56
  317  Director            Communication Services      $500K+   any        14      43%      +9.3%      24.54
  318  Insider (other)     all                         $1M+     DD<2%      28      79%      +7.3%      24.49
  319  Director            Consumer Defensive          $5M+     DD<5%      14     100%      +9.2%      24.40
  320  all                 all                         $250K+   any      1538      55%      +3.3%      24.29
  321  CEO                 Healthcare                  $500K+   any        16      50%      +8.7%      24.24
  322  all                 Real Estate                 $250K+   DD<5%      45      73%      +6.3%      24.16
  323  Director            Utilities                   $1M+     any        11      91%     +10.0%      24.09
  324  Director            Utilities                   $1M+     DD<5%      11      91%     +10.0%      24.09
  325  Director            Communication Services      $250K+   any        21      48%      +7.9%      23.98
  326  all                 Utilities                   $100K+   any       153      61%      +4.8%      23.95
  327  all                 Real Estate                 $5M+     any        11      73%     +10.0%      23.90
  328  Director            Real Estate                 $500K+   any        36      75%      +6.7%      23.85
  329  CEO                 Communication Services      $100K+   DD<5%       8      63%     +11.5%      23.82
  330  CEO                 Communication Services      $250K+   DD<5%       8      63%     +11.5%      23.82
  331  CEO                 Communication Services      $500K+   DD<5%       8      63%     +11.5%      23.82
  332  all                 Utilities                   $500K+   any        40      78%      +6.4%      23.68
  333  Director            Consumer Cyclical           $500K+   DD<5%      22      68%      +7.6%      23.53
  334  Director            all                         $25M+    DD<5%      24      58%      +7.4%      23.48
  335  all                 Utilities                   $1M+     DD<5%      17      82%      +8.3%      23.41
  336  CEO                 Consumer Cyclical           $250K+   any        23      65%      +7.4%      23.27
  337  CEO                 Healthcare                  $250K+   any        18      50%      +8.0%      23.21
  338  Insider (other)     Communication Services      $250K+   any        56      77%      +5.8%      23.19
  339  all                 Real Estate                 $1M+     any        31      74%      +6.7%      22.85
  340  all                 Technology                  $5M+     DD<2%       6      33%     +12.7%      22.82
  341  Other/EVP           Industrials                 $250K+   any         7      71%     +11.7%      22.71
  342  Director            Consumer Cyclical           $100K+   any       132      61%      +4.6%      22.65
  343  CEO                 Communication Services      $1M+     any         9      67%     +10.3%      22.65
  344  Insider (other)     all                         $5M+     DD<2%      18      78%      +7.8%      22.61
